İl;X;Y;;;
Adana;-2;-104;;;
Adıyaman;145;50;;;
Afyonkarahisar;-240;11;;;
Ağrı;370;89;;;
Amasya;16;128;;;
Ankara;-136;78;;;
Antalya;-238;-105;;;
Artvin;299;171;;;
Aydın;-378;-40;;;
Balıkesir;-367;73;;;
Bilecik;-261;100;;;
Bingöl;250;28;;;
Bitlis;331;2;;;
Bolu;-183;134;;;
Burdur;-287;-67;;;
Bursa;-306;102;;;
Çanakkale;-431;119;;;
Çankırı;-87;124;;;
Çorum;-25;120;;;
Denizli;-317;-49;;;
Diyarbakır;239;-39;;;
Edirne;-421;206;;;
Elazığ;182;8;;;
Erzincan;195;75;;;
Erzurum;285;96;;;
Eskişehir;-243;75;;;
Gaziantep;100;-98;;;
Giresun;140;145;;;
Gümüşhane;192;123;;;
Hakkâri;421;-40;;;
Hatay;42;-152;;;
Isparta;-241;-50;;;
Mersin;-38;-115;;;
İstanbul;-310;156;;;
İzmir;-412;2;;;
Kars;366;145;;;
Kastamonu;-81;137;;;
Kayseri;-1;7;;;
Kırklareli;-389;210;;;
Kırşehir;-60;32;;;
Kocaeli;-264;140;;;
Konya;-145;-50;;;
Kütahya;-267;54;;;
Malatya;144;-17;;;
Manisa;-395;8;;;
Kahramanmaraş;75;-63;;;
Mardin;270;-72;;;
Muğla;-356;-84;;;
Muş;301;19;;;
Nevşehir;-35;-1;;;
Niğde;-37;-44;;;
Ordu;39;166;;;
Rize;236;159;;;
Sakarya;-240;137;;;
Samsun;39;169;;;
Siirt;327;-28;;;
Sinop;-19;211;;;
Sivas;76;73;;;
Tekirdağ;-383;158;;;
Tokat;51;106;;;
Trabzon;200;154;;;
Tunceli;204;36;;;
Şanlıurfa;170;-87;;;
Uşak;-296;11;;;
Van;394;13;;;
Yozgat;-32;73;;;
Zonguldak;-172;176;;;
Aksaray;-68;-17;;;
Bayburt;230;110;;;
Karaman;-106;-95;;;
Kırıkkale;-93;75;;;
Batman;287;-37;;;
Şırnak;356;-50;;;
Bartın;-150;190;;;
Ardahan;343;175;;;
Iğdır;417;107;;;
Yalova;-302;133;;;
Karabük;-133;158;;;
Kilis;89;-119;;;
Osmaniye;44;-99;;;
Düzce;-205;138;;;